Crash ID,Adj ADT,At Intersection Flag,ADT,ADT Year,City,Contributing Factors,Control Section,CS Milepoint,Crash Date,Death Count,Month,NonSusp Serious Inj,Possible Inj,Crash Severity,Susp Serious Inj,Crash Time,Total Inj,Year,Day of Week,DFO,Fatal Crash Flag,First Harmful Event,Hwy Lane Design,Hour,Intersecting Hwy Number,Intersecting Street Name,Intersection Related,Latitude,Light Condition,Located Flag,Longitude,Manner of Collision,Median Type,Entering Roads,Number of Lanes,Object Struck,On System Flag,Other Factor,Population Group,Private Drive Flag,Ref Marker,RM Offset,Road Class,Roadway Alignment,Roadway Function,Roadway Relation,Roadway Type,Rural Flag,Speed Limit,Street Name,Surface Condition,Traffic Control Type,Weather Condition
14874233,10439,False,10439,2023,CORPUS CHRISTI,OTHER (EXPLAIN IN NARRATIVE),226303,23.648,2016-01-11,0,1,0,0,N - NOT INJURED,0,0219,0,2016,MONDAY,31.367,0,FIXED OBJECT,TWO-WAY,02:00 - 02:59,,N/A,NON INTERSECTION,27.66030584,"DARK, NOT LIGHTED",YES,-97.18498195,ONE MOTOR VEHICLE - GOING STRAIGHT,NO MEDIAN,NOT APPLICABLE,5,HIT FENCE,True,NOT APPLICABLE,"250,000 POP AND OVER",NO,0636,-0.316,US & STATE HIGHWAYS,"STRAIGHT, LEVEL",MINOR ARTERIAL,OFF ROADWAY,"4 OR MORE LANES, UNDIVIDED",False,60,SH0361,DRY,MARKED LANES,CLEAR
14868493,12050,False,12050,2023,OUTSIDE CITY LIMITS,HAD BEEN DRINKING,226303,14.126,2016-01-13,1,1,0,0,K - FATAL INJURY,1,1758,1,2016,WEDNESDAY,21.845,1,OVERTURNED,TWO-WAY,17:00 - 17:59,,N/A,NON INTERSECTION,27.77893216,DAYLIGHT,YES,-97.10510097,ONE MOTOR VEHICLE - GOING STRAIGHT,NO MEDIAN,THREE ENTERING ROADS - T,5,OVERTURNED,True,NOT APPLICABLE,RURAL,NO,0626,0.133,US & STATE HIGHWAYS,"STRAIGHT, LEVEL",MINOR ARTERIAL,OFF ROADWAY,"4 OR MORE LANES, UNDIVIDED",True,60,SH0361,DRY,STOP SIGN,CLEAR
14868876,5888,False,5888,2023,PORT ARANSAS,FAILED TO CONTROL SPEED,226302,6.407,2016-01-19,0,1,0,0,N - NOT INJURED,0,1553,0,2016,TUESDAY,16.859,0,MOTOR VEHICLE IN TRANSPORT,TWO-WAY,15:00 - 15:59,,N/A,NON INTERSECTION,27.83799778,DAYLIGHT,YES,-97.06799611,SAME DIRECTION - ONE STRAIGHT-ONE STOPPED,NO MEDIAN,OTHER (EXPLAIN IN NARRATIVE),2,HIT OTHER FIXED OBJECT,True,SLOWING/STOPPING-REASON NOT SPECIFIED,"2,500 - 4,999 POP",NO,0620,0.592,CITY STREET,"STRAIGHT, LEVEL",MINOR ARTERIAL,ON ROADWAY,"2 LANE, 2 WAY",True,5,SH0361,DRY,OTHER (EXPLAIN IN NARRATIVE),CLEAR
14869053,15893,False,15893,2023,PORT ARANSAS,FAILED TO YIELD RIGHT OF WAY - TURNING LEFT;TURNED WHEN UNSAFE,226303,12.086,2016-01-19,0,1,0,2,C - POSSIBLE INJURY,0,1701,2,2016,TUESDAY,19.805,0,MOTOR VEHICLE IN TRANSPORT,BOULEVARD,17:00 - 17:59,,N/A,NON INTERSECTION,27.80283878,"DARK, NOT LIGHTED",YES,-97.08545048,SAME DIRECTION - ONE STRAIGHT-ONE LEFT TURN,CURBED,THREE ENTERING ROADS - T,4,NOT APPLICABLE,True,NOT APPLICABLE,"2,500 - 4,999 POP",NO,0624,0.055,US & STATE HIGHWAYS,"STRAIGHT, LEVEL",MINOR ARTERIAL,ON ROADWAY,"4 OR MORE LANES, DIVIDED",True,55,SH0361,DRY,NONE,CLEAR
14901583,10439,True,10439,2023,CORPUS CHRISTI,DISREGARD STOP AND GO SIGNAL; HAD BEEN DRINKING,226303,27.498,2016-01-24,0,1,1,0,A - SUSPECTED SERIOUS INJURY,1,1710,2,2016,SUNDAY,35.217,0,MOTOR VEHICLE IN TRANSPORT,TWO-WAY,17:00 - 17:59,0022,PR0022,INTERSECTION,27.6178894,DAYLIGHT,YES,-97.22177124,OPPOSITE DIRECTION - ONE STRAIGHT-ONE LEFT TURN,NO MEDIAN,FOUR ENTERING ROADS,5,NOT APPLICABLE,True,NOT APPLICABLE,"250,000 POP AND OVER",NO,0638,1.535,US & STATE HIGHWAYS,"STRAIGHT, LEVEL",MINOR ARTERIAL,ON ROADWAY,"4 OR MORE LANES, UNDIVIDED",False,55,SH0361,DRY,SIGNAL LIGHT,CLEAR
14878793,5888,True,5888,2023,PORT ARANSAS,DISTRACTION IN VEHICLE;CELL/MOBILE DEVICE USE - OTHER,226302,6.526,2016-01-25,0,1,0,0,N - NOT INJURED,0,1501,0,2016,MONDAY,16.978,0,MOTOR VEHICLE IN TRANSPORT,TWO-WAY,15:00 - 15:59,,PORT ST,INTERSECTION RELATED,27.8366335,DAYLIGHT,YES,-97.06920077,SAME DIRECTION - ONE STRAIGHT-ONE STOPPED,NO MEDIAN,THREE ENTERING ROADS - T,2,NOT APPLICABLE,True,"SLOWING/STOPPING - FOR OFFICER, FLAGMAN, OR TRAFFIC CONTROL","2,500 - 4,999 POP",NO,0620,0.711,US & STATE HIGHWAYS,"STRAIGHT, LEVEL",MINOR ARTERIAL,ON ROADWAY,"2 LANE, 2 WAY",True,30,SH0361,DRY,NONE,CLEAR
14895085,6181,False,6181,2023,ARANSAS PASS,FAILED TO CONTROL SPEED; FAULTY EVASIVE ACTION,226302,2.797,2016-01-26,0,1,0,0,N - NOT INJURED,0,0951,0,2016,TUESDAY,13.234,0,OVERTURNED,TWO-WAY,09:00 - 09:59,,N/A,NON INTERSECTION,27.8806713,DAYLIGHT,YES,-97.10049665,ONE MOTOR VEHICLE - GOING STRAIGHT,NO MEDIAN,NOT APPLICABLE,2,OVERTURNED,True,"LOST CONTROL OR SKIDDED (ICY OR SLICK ROAD, ETC.)","5,000 - 9,999 POP",NO,0616,0.926,US & STATE HIGHWAYS,"STRAIGHT, GRADE",MINOR ARTERIAL,OFF ROADWAY,"2 LANE, 2 WAY",False,55,SH0361,WET,CENTER STRIPE/DIVIDER,RAIN
14896685,15893,False,15893,2023,PORT ARANSAS,DRIVER INATTENTION; FAILED TO CONTROL SPEED,226303,11.534,2016-02-04,0,2,0,0,N - NOT INJURED,0,1258,0,2016,THURSDAY,19.253,0,MOTOR VEHICLE IN TRANSPORT,BOULEVARD,12:00 - 12:59,,N/A,NON INTERSECTION,27.80920127,DAYLIGHT,YES,-97.07995648,SAME DIRECTION - ONE STRAIGHT-ONE STOPPED,CURBED,NOT APPLICABLE,4,NOT APPLICABLE,True,CONSTRUCTION-WITHIN POSTED ROAD CONSTRUCTION ZONE (RELATED TO CRASH),"2,500 - 4,999 POP",NO,0624,-0.497,US & STATE HIGHWAYS,"STRAIGHT, LEVEL",MINOR ARTERIAL,ON ROADWAY,"4 OR MORE LANES, DIVIDED",True,45,SH0361,DRY,NONE,CLEAR
14908809,9764,True,9764,2023,PORT ARANSAS,DISTRACTION IN VEHICLE,226302,7.266,2016-02-08,0,2,0,0,N - NOT INJURED,0,1320,0,2016,MONDAY,17.718,0,MOTOR VEHICLE IN TRANSPORT,TWO-WAY,13:00 - 13:59,,STATE HIGHWAY 361,INTERSECTION RELATED,27.82817809,DAYLIGHT,YES,-97.06701784,SAME DIRECTION - ONE STRAIGHT-ONE STOPPED,NO MEDIAN,FOUR ENTERING ROADS,2,NOT APPLICABLE,True,"SLOWING/STOPPING - FOR OFFICER, FLAGMAN, OR TRAFFIC CONTROL","2,500 - 4,999 POP",NO,0622,-0.01,US & STATE HIGHWAYS,"STRAIGHT, LEVEL",MINOR ARTERIAL,ON ROADWAY,"2 LANE, 2 WAY",True,30,SH0361,DRY,SIGNAL LIGHT,CLEAR
14938847,15893,False,15893,2023,PORT ARANSAS,FAILED TO CONTROL SPEED; UNDER INFLUENCE - ALCOHOL,226303,11.763,2016-02-26,0,2,0,0,N - NOT INJURED,0,1141,0,2016,FRIDAY,19.482,0,MOTOR VEHICLE IN TRANSPORT,BOULEVARD,11:00 - 11:59,,ACCESS ROAD 1 A,INTERSECTION RELATED,27.80659239,DAYLIGHT,YES,-97.08228334,SAME DIRECTION - BOTH GOING STRAIGHT-REAR END,CURBED,THREE ENTERING ROADS - T,4,NOT APPLICABLE,True,NOT APPLICABLE,"2,500 - 4,999 POP",NO,0624,-0.268,US & STATE HIGHWAYS,"STRAIGHT, LEVEL",MINOR ARTERIAL,ON ROADWAY,"4 OR MORE LANES, DIVIDED",True,55,SH0361,DRY,FLASHING YELLOW LIGHT,CLEAR
