year,st_case,month,day,day_week,hour,minute,latitude,longitude,fatals,persons,ve_total,peds,route,routename,tway_id,tway_id2,milept,city,cityname,rur_urb,rur_urbname,func_sys,func_sysname,harm_ev,harm_evname,man_coll,man_collname,reljct2,reljct2name,typ_int,lgt_cond,lgt_condname,weather,weathername,drunk_dr,on_361_tway,in_box
2014,480428,2,25,3,4,12,27.67896111,-97.30971389,1,1,1,0,7,,SR-358 PADRE ISLAND DR,,143,1550,,,,,,33,,0,,1,,1,3,,5,,1,False,True
2014,480657,3,16,1,1,48,27.64657778,-97.19423889,1,3,2,0,3,,SR-361,,247,1550,,,,,,12,,2,,1,,1,3,,5,,1,True,True
2014,482039,4,12,7,21,43,27.82219722,-97.07166667,1,3,1,1,3,,SR-361 ALISTER ST,,105,5420,,,,,,8,,0,,1,,1,2,,10,,0,True,True
2014,482104,9,12,6,22,0,27.65129444,-97.29308056,1,1,1,1,5,,WALDRON RD,CASTLE PARK DR,0,1550,,,,,,8,,0,,3,,3,2,,10,,0,False,True
2014,482394,10,12,1,14,39,27.82479444,-97.06986667,1,1,1,1,3,,SR-361 ALISTER ST,,104,5420,,,,,,8,,0,,1,,1,1,,10,,0,True,True
2014,483021,12,6,7,2,7,27.62320556,-97.22171944,1,2,1,1,8,,PR 22/PADRE ISLAND DR,,64,1550,,,,,,8,,0,,1,,1,3,,1,,0,False,True
2014,483226,11,21,6,18,46,27.67343056,-97.28265833,1,0,1,1,6,,CLARIDE ST,,0,1550,,,,,,8,,0,,1,,1,2,,1,,0,False,True
2015,480918,5,3,1,17,11,27.77764444,-97.10595833,1,1,1,0,3,State Highway,SR-361,,143,5420,,1,Rural,4,Minor Arterial,1,Rollover/Overturn,0,Not a Collision with Motor Vehicle In-Transport,1,Non-Junction,1,1,Daylight,1,Clear,1,True,True
2015,482289,10,2,6,2,42,27.83116944,-97.07116667,1,1,1,0,3,State Highway,SR-361,,69,5420,,1,Rural,4,Minor Arterial,31,"Other Post, Other Pole or Other Supports",0,Not a Collision with Motor Vehicle In-Transport,1,Non-Junction,1,3,Dark - Lighted,1,Clear,1,True,False
2015,483217,12,14,2,7,7,27.62365278,-97.22156389,1,6,3,0,8,Other,PR-22 PADRE ISLAND DR,VERDEMAR DR,63,1550,,2,Urban,3,Principal Arterial - Other,12,Motor Vehicle In-Transport,6,Angle,2,Intersection,2,1,Daylight,1,Clear,0,False,True
2016,480080,1,13,4,17,58,27.77894167,-97.10515,1,2,1,0,3,State Highway,SR-361,,141,5420,PORT ARANSAS,1,Rural,4,Minor Arterial,1,Rollover/Overturn,0,Not a Collision with Motor Vehicle In-Transport,1,Non-Junction,1,1,Daylight,1,Clear,1,True,True
2016,482076,8,3,4,21,40,27.66156111,-97.30533611,1,2,2,1,6,Local Street - Municipality,FLOUR BLUFF DR,,0,1550,CORPUS CHRISTI,2,Urban,5,Major Collector,8,Pedestrian,0,Not a Collision with Motor Vehicle In-Transport,1,Non-Junction,1,2,Dark - Not Lighted,1,Clear,0,False,True
2016,482881,10,26,4,8,34,27.67313333,-97.29266389,1,5,3,0,3,State Highway,SR-358 PADRE ISLAND DR,,153,1550,CORPUS CHRISTI,2,Urban,2,Principal Arterial - Other Freeways and Expressways,12,Motor Vehicle In-Transport,1,Front-to-Rear,1,Non-Junction,1,1,Daylight,1,Clear,0,False,True
2017,480672,3,24,6,22,34,27.82057778,-97.06723056,1,1,1,1,6,Local Street - Municipality,ELEVENTH ST,,0,5420,PORT ARANSAS,1,Rural,7,Local,8,Pedestrian,0,Not a Collision with Motor Vehicle In-Transport,1,Non-Junction,1,2,Dark - Not Lighted,1,Clear,1,False,True
2017,480972,2,6,2,19,13,27.67441667,-97.29719167,1,1,1,1,6,Local Street - Municipality,FLOUR BLUFF DR,,0,1550,CORPUS CHRISTI,2,Urban,4,Minor Arterial,8,Pedestrian,0,Not a Collision with Motor Vehicle In-Transport,1,Non-Junction,1,2,Dark - Not Lighted,10,Cloudy,0,False,True
2017,481428,6,15,5,0,16,27.65653611,-97.25828333,1,1,1,0,8,Other,PR-22 S PADRE ISLAND DR,,15,1550,CORPUS CHRISTI,2,Urban,2,Principal Arterial - Other Freeways and Expressways,25,Concrete Traffic Barrier,0,Not a Collision with Motor Vehicle In-Transport,1,Non-Junction,1,3,Dark - Lighted,1,Clear,0,False,True
2017,482480,10,4,4,8,27,27.88780278,-97.10847222,1,1,1,0,3,State Highway,SR-361,,22,240,ARANSAS PASS,1,Rural,4,Minor Arterial,24,Guardrail Face,0,Not a Collision with Motor Vehicle In-Transport,1,Non-Junction,1,1,Daylight,1,Clear,0,True,False
2018,480668,3,17,7,2,29,27.76059167,-97.11749444,1,2,1,1,3,State Highway,SR-361,,156,5420,PORT ARANSAS,1,Rural,4,Minor Arterial,8,Pedestrian,0,Not a Collision with Motor Vehicle In-Transport,1,Non-Junction,1,2,Dark - Not Lighted,5,"Fog, Smog, Smoke",0,True,True
2018,480739,3,22,5,5,15,27.67674722,-97.30545278,1,1,1,0,3,State Highway,SR-358/PADRE ISLAND DR RAMP,,145,1550,CORPUS CHRISTI,2,Urban,2,Principal Arterial - Other Freeways and Expressways,33,Curb,0,Not a Collision with Motor Vehicle In-Transport,5,Entrance/Exit Ramp Related,1,3,Dark - Lighted,1,Clear,0,False,True
2018,480918,4,13,6,23,4,27.66705833,-97.27958889,1,2,1,1,6,Local Street - Municipality,PARK RD 22,,14,1550,CORPUS CHRISTI,2,Urban,2,Principal Arterial - Other Freeways and Expressways,8,Pedestrian,0,Not a Collision with Motor Vehicle In-Transport,1,Non-Junction,1,2,Dark - Not Lighted,10,Cloudy,0,False,True
2018,481192,5,7,2,22,45,27.65907222,-97.30698333,1,1,1,1,6,Local Street - Municipality,FLOUR BLUFF DR,,0,1550,CORPUS CHRISTI,2,Urban,5,Major Collector,9,Pedalcyclist,0,Not a Collision with Motor Vehicle In-Transport,1,Non-Junction,1,3,Dark - Lighted,1,Clear,1,False,True
