year,st_case,veh_no,numoccs,make,makename,mod_year,body_typ,body_typname,trav_sp,vspd_lim,dr_drink,dr_drinkname,deaths,impact1,impact1name,rollover,rollovername,m_harm,m_harmname,dr_zip,l_state,prev_dwi,speedrel,speedrelname,hit_run
2014,480428,1,1,72,,1999,80,,998,45,1,,1,98,,0,,33,,78210,48,0,5,,0
2014,480657,1,1,20,,2014,31,,998,55,1,,0,12,,1,,12,,78416,48,0,0,,0
2014,480657,2,2,35,,2003,4,,998,55,0,,1,12,,0,,12,,78410,48,0,0,,0
2014,482039,1,3,49,,1999,14,,998,45,0,,0,12,,0,,8,,78746,48,0,0,,0
2014,482104,1,1,13,,2001,4,,998,35,0,,0,12,,0,,8,,78418,48,0,0,,0
2014,482394,1,99,12,,2013,31,,998,45,0,,0,12,,0,,8,,99999,99,99,5,,1
2014,483021,1,2,20,,2001,21,,998,55,0,,0,12,,0,,8,,78404,48,0,0,,0
2014,483226,1,0,7,,2002,14,,998,30,0,,0,61,,0,,8,,99997,0,998,8,,0
2015,480918,1,1,72,Harley-Davidson,2007,80,Motorcycle,998,60,1,Yes,1,0,Non-Collision,0,No Rollover,1,Rollover/Overturn,78413,48,0,0,No,0
2015,482289,1,1,72,Harley-Davidson,2002,80,Motorcycle,998,30,1,Yes,1,98,Not Reported,0,No Rollover,31,"Other Post, Other Pole or Other Supports",78373,48,0,0,No,0
2015,483217,1,3,22,Pontiac,2005,6,Station Wagon (excluding van and truck based),998,98,0,No,1,9,9 Clock Point,0,No Rollover,12,Motor Vehicle In-Transport,78418,48,0,0,No,0
2015,483217,2,1,2,Jeep / Kaiser-Jeep / Willys- Jeep,2008,14,"Compact Utility (Utility Vehicle Categories ""Small"" and ""Midsize"")",998,55,0,No,0,12,12 Clock Point,0,No Rollover,12,Motor Vehicle In-Transport,78418,48,0,0,No,0
2015,483217,3,2,49,Toyota,2007,4,"4-door sedan, hardtop",998,55,0,No,0,12,12 Clock Point,0,No Rollover,54,"Motor Vehicle In-Transport Strikes or is Struck by Cargo, Persons or Objects Set-in-Motion from/by Another Motor Vehicle In Transport",78414,48,0,0,No,0
2016,480080,1,2,72,Harley-Davidson,2009,80,Motorcycle,998,60,1,Yes,1,0,Non-Collision,0,No Rollover,1,Rollover/Overturn,78336,48,0,0,No,0
2016,482076,1,99,99,Unknown Make,9999,99,Unknown body type,998,45,0,No,0,12,12 Clock Point,0,No Rollover,8,Pedestrian,99999,99,99,0,No,1
2016,482076,2,99,99,Unknown Make,9999,99,Unknown body type,998,45,0,No,0,12,12 Clock Point,0,No Rollover,8,Pedestrian,99999,99,99,0,No,1
2016,482881,1,2,37,Honda,2007,20,"Minivan (Chrysler Town and Country, Caravan, Grand Caravan, Voyager, Voyager, Honda-Odyssey, ...)",998,65,0,No,1,12,12 Clock Point,1,"Rollover, Tripped by Object/Vehicle",12,Motor Vehicle In-Transport,78368,48,0,0,No,0
2016,482881,2,2,12,Ford,2001,61,"Single-unit straight truck or Cab-Chassis (10,000 lbs. < GVWR < or = 19,500 lbs.)",998,65,0,No,0,6,6 Clock Point,0,No Rollover,12,Motor Vehicle In-Transport,77012,48,0,0,No,0
2016,482881,3,1,12,Ford,2012,61,"Single-unit straight truck or Cab-Chassis (10,000 lbs. < GVWR < or = 19,500 lbs.)",998,65,0,No,0,6,6 Clock Point,0,No Rollover,12,Motor Vehicle In-Transport,77017,48,0,0,No,0
