name,type,lat,lon,side,opened_year,opened_source,size,control,notes,source_urls
Beach Access Road 1A / Piper Blvd (north end of study stretch),public access road / commercial node,27.80632,-97.08245,E (1A) / W (Piper Blvd),n.d. (pre-2000; existing when the 2011-16 Ave G-to-1A widening was planned),TxDOT/South Jetty coverage of Ave G-Access Rd 1A widening (2011-2015),"city beach access road; commercial cluster: Stripes/Valero 3501 SH 361 ('Access Road #1 Addition' plat, NCAD), Beach Mart, The Texan 3401 SH 361 (NCAD 'THE TEXAN' Blk1 Lot1R)",SIGNALIZED (OSM traffic_signals nodes 27.80639/27.80632); OSM lanes=3 with left|through|through;right on approach (w1018840490); marked crossings,"Start of the 15.7-mile stretch. Blue Marlin Subdivision (24.5 ac, 32 homes + 15-ac RV park + condos; construction began Dec 2022) lies just NORTH of The Texan = outside stretch.",OpenStreetMap via Overpass API (2026-08-15); https://www.portasouthjetty.com/articles/work-gets-started-on-big-subdivision/; https://www.portasouthjetty.com/articles/input-on-improvements-to-state-hwy-361-sought/
Stripes/Valero + Beach Mart driveways (3501 SH 361),commercial,27.80602,-97.08271,E,n.d.,-,convenience store/fuel; 0.603 ac 'Access Road #1 Addition' lot (NCAD),"plain driveways (2) just S of the 1A signal (OSM w1017933999, w1017934076)",,OpenStreetMap via Overpass API (2026-08-15); https://esearch.nuecescad.net/ (Nueces CAD eSearch)
Days Inn / Gulfside Condos driveway (3595 SH 361 -> Gracies Way),commercial/condo,27.80477,-97.08375,E,n.d.,-,hotel (Days Inn 3595 SH 361) + Gulfside/Courtyard condos,plain driveway (OSM w1017490827); within 55-mph 2-lane section,,OpenStreetMap via Overpass API (2026-08-15)
Palmilla Beach Resort & Golf Community - Palmilla Beach Dr (E) / Palmilla Way (W),resort / PUD subdivision + golf,27.80345,-97.08504,E and W (offset T's ~10 m apart),"PUD approved 2003 as 'Newport Beach Village/Bay Village/Marina' (1,280 ac, Craig Millard); Arnold Palmer course + first-village lots built 2008 (soft opening Sept 2008); McCombs (KM Beach LLC) bought 2012; homes/sales from 2014; PUD units platted 2018-2023 (Unit 7 = 37.57 ac, 2022-23); NCAD earliest lot deeds 2015-16, homes 2017+","South Jetty 'Area being prepared…' (Dec 4 2014), 'Michael named GM of Newport golf club' (Aug 7 2008), 'Big hotel talk' (Mar 27 2014); Schnell Urban Design; Port A council packets Apr/Aug 2022; NCAD S6283/S6282/S6286/S6303","387 ac overall incl. golf course (53-ac seaside village) per Schnell; 700 ac master-planned per Koontz McCombs (2014); Village North first phase 75 lots + 16-unit condo (2014); NCAD: Palmilla Beach 79 parcels, Unit 1B 32, PUD Unit 2 45, Unit 7 143",unsignalized; OSM: dedicated left-turn lanes both directions (turn:lanes left|through|through;right on w1017931615/w1017931614); STOP signs on Palmilla Way and Palmilla Beach Dr,Palmilla Way (W) also leads to Island Moorings Pkwy / Mustang Beach Airport side. Seaside & Seagate condos (Palmilla Circle) use Palmilla Beach Dr.,https://www.portasouthjetty.com/articles/area-being-prepared-for-possible-development/; https://www.portasouthjetty.com/articles/michael-named-gm-of-newport-golf-club/; https://www.portasouthjetty.com/articles/big-hotel-talk/; https://schnellurbandesign.com/project/palmilla-beach/; https://esearch.nuecescad.net/ (Nueces CAD eSearch)
Mustang Boulevard (W) - Mustang Beach / Island Moorings / Mustang Beach Airport,subdivision (older) + airport/marina,27.80024,-97.08774,W,Island Moorings Unit 1: NCAD earliest improvement 1970; Mustang Beach Unit 2 earliest improvement 1986 (deeds 1980); La Joya de Island Moorings NUD 2001-02; The Moorings at Mustang Island (18-ac + 13.7-ac tracts) deed 2007,NCAD S3727/S5473/S5474/S4053/S5347,Island Moorings units 1-6 + marina; Mustang Beach units 1-2 (44+47 parcels); La Joya NUD 44 parcels,"unsignalized; OSM northbound left-turn lane (turn:lanes left|through|through, w1017919963); marked crossing w/ refuge island; STOP on Mustang Blvd",,OpenStreetMap via Overpass API (2026-08-15); https://esearch.nuecescad.net/ (Nueces CAD eSearch)
Beach Access Road 1,public access road,27.79667,-97.09074,E,n.d. (long-existing; listed among city beach roads in 2021),https://www.portasouthjetty.com/articles/new-beach-road/,city beach access road; Sunflower Beach (190 Access Rd 1) and Palmilla's Black Marlin/pro shop take access from it,unsignalized; OSM lanes=3 turn:lanes left|through|merge_to_left (w1017914986) = start of the continuous center left-turn lane southward; STOP on BAR 1; TEMPORARY police-operated signal used Spring Break 2026,Southern limit of TxDOT's Ave G-1A project and northern limit of the SH 361 Mustang Island (4-lane) project.,OpenStreetMap via Overpass API (2026-08-15); https://www.portasouthjetty.com/articles/port-a-braces-for-spring-break/ (temp signals); https://www.kristv.com/news/local-news/in-your-neighborhood/nueces-county/port-aransas/port-aransas-law-enforcement-beach-patrols-gear-up-for-spring-break-crowds-on-the-texas-coast
Unnamed street into Sunflower Beach Resort & Residences (probable SH 361 entrance),resort / PUD subdivision,27.79174,-97.09481,E,"envisioned early 2010s; construction from ~2014; NCAD: PUD Unit 1 lot deeds from 2015, earliest sampled home 2021 (small sample); Unit 2A deeds 2021, homes 2023; 21-unit Pool Residences groundbreaking Feb 2021",Bluefin Realty neighborhood profile; South Jetty 'Corder is condo's architect' (Mar 3 2021); NCAD S8544/S8549,"~50 ac; 'hundreds of home sites'; NCAD Unit 1 = 65 parcels, Unit 2A = 24, plus townhomes & 25-cabin 'The Camp'",plain street/T within center-turn-lane section; unsignalized,OSM way w1300961044 (unnamed residential) - identification as Sunflower's SH 361 entrance is inferred from location; VERIFY. Main address is on Beach Access Rd 1.,https://www.bluefinrealtytx.com/neighborhood-profile-sunflower-beach/; https://www.sunflowerbeach.com/; https://www.portasouthjetty.com/articles/corder-is-condos-architect/; https://esearch.nuecescad.net/ (Nueces CAD eSearch)
Unnamed new street (bay side) - probable Merisol Subdivision,subdivision (new),27.79434,-97.09262,W,"preliminary plat 'Merisol Village' 281.14 ac heard Aug 2020; Merisol Unit 2 (23.11 ac) prelim/final plat Jan-Jun 2023; property location '4100 Blk of Hwy 361'; NCAD Merisol Subdivision Unit 1 = 14 parcels, deeds 2024, no homes yet (2026 roll)","https://www.portasouthjetty.com/articles/plats-to-be-considered-at-planning-and-zoning-meeting/ (Aug 5 2020); Port A council packets Jan 19, Apr 20, Jun 15 2023 (cached)",Unit 2 = 23.11 ac (of 25.559-ac Castor tract); 2020 prelim plat covered 281 ac incl. 239.6-ac ERF tract,"plain T; unsignalized (OSM w1513812692, turning circle at end)","Side/identity inferred (4100 block, new OSM stub); VERIFY against plat.",see sources
Gulfwind Drive - Pioneer RV Beach Resort (+ Gulf Side Estates),RV resort,27.78761,-97.09828,E,n.d. (resort founding year not found on developer site; NCAD 'Gulf Side Estates' Lot 1R at 4397 SH 361 appraised $10.7M likely = the resort tract),pioneerrvresorts.com; NCAD S3069,"363 full-hookup sites + 10 cabins (Good Sam); 120 Gulfwind Dr; NCAD Gulf Side Estates 11.71 ac (Lots 1R & 4R, 4533 SH 361)",plain T; unsignalized; within center-turn-lane section,,https://www.goodsam.com/campgrounds-rv-parks/texas/port-aransas/pioneer-beach-resort/cgid-970000765; https://www.pioneerrvresorts.com/; https://esearch.nuecescad.net/ (Nueces CAD eSearch)
The Last Resort RV park (4667 SH 361) - probable bay-side service drive,RV park,27.78316,-97.10203,W,n.d.,-,single NCAD parcel 'THE LAST RESORT Blk1 Lot1' (appraised $1.9M),"plain driveway (OSM w520620578, 19 nodes)",Assignment of this OSM driveway to The Last Resort is inferred from address block; VERIFY.,OpenStreetMap via Overpass API (2026-08-15); https://esearch.nuecescad.net/ (Nueces CAD eSearch); TxDOT flyer-distribution list (PM summary)
Royal Sands Blvd - Royal Sands NUD (NCAD: 'Mustang Royale NUD Unit 2'),subdivision,27.78021,-97.10429,E,"NCAD: earliest lot deeds 2004, earliest sampled home 2007",NCAD S5609,"98 NCAD parcels (Royal Sands Blvd, Royal Dunes Cir, Five Dove Cir)",plain T; unsignalized; center turn lane available,"Public comment (TxDOT 2024): 'Turning into Mustang Royale and Royal Sands subdivision, we have to use access to turn to avoid being rear-ended when turning - traffic moving very fast behind us!'","https://esearch.nuecescad.net/ (Nueces CAD eSearch); https://www.txdot.gov/projects/hearings-meetings/corpus-christi/2024/sh361-mustang-island-project-091924.html (public-meeting summary PDF, cached txdot/sh361_pm_summary.txt)"
