Crash ID,Adj ADT,At Intersection Flag,ADT,ADT Year,City,Contributing Factors,Control Section,CS Milepoint,Crash Date,Death Count,Month,NonSusp Serious Inj,Possible Inj,Crash Severity,Susp Serious Inj,Crash Time,Total Inj,Year,Day of Week,DFO,Fatal Crash Flag,First Harmful Event,Hwy Lane Design,Hour,Intersecting Hwy Number,Intersecting Street Name,Intersection Related,Latitude,Light Condition,Located Flag,Longitude,Manner of Collision,Median Type,Entering Roads,Number of Lanes,Object Struck,On System Flag,Other Factor,Population Group,Private Drive Flag,Ref Marker,RM Offset,Road Class,Roadway Alignment,Roadway Function,Roadway Relation,Roadway Type,Rural Flag,Speed Limit,Street Name,Surface Condition,Traffic Control Type,Weather Condition
14874233,10439,False,10439,2023,CORPUS CHRISTI,OTHER (EXPLAIN IN NARRATIVE),226303,23.648,2016-01-11,0,1,0,0,N - NOT INJURED,0,0219,0,2016,MONDAY,31.367,0,FIXED OBJECT,TWO-WAY,02:00 - 02:59,,N/A,NON INTERSECTION,27.66030584,"DARK, NOT LIGHTED",YES,-97.18498195,ONE MOTOR VEHICLE - GOING STRAIGHT,NO MEDIAN,NOT APPLICABLE,5,HIT FENCE,True,NOT APPLICABLE,"250,000 POP AND OVER",NO,0636,-0.316,US & STATE HIGHWAYS,"STRAIGHT, LEVEL",MINOR ARTERIAL,OFF ROADWAY,"4 OR MORE LANES, UNDIVIDED",False,60,SH0361,DRY,MARKED LANES,CLEAR
14868493,12050,False,12050,2023,OUTSIDE CITY LIMITS,HAD BEEN DRINKING,226303,14.126,2016-01-13,1,1,0,0,K - FATAL INJURY,1,1758,1,2016,WEDNESDAY,21.845,1,OVERTURNED,TWO-WAY,17:00 - 17:59,,N/A,NON INTERSECTION,27.77893216,DAYLIGHT,YES,-97.10510097,ONE MOTOR VEHICLE - GOING STRAIGHT,NO MEDIAN,THREE ENTERING ROADS - T,5,OVERTURNED,True,NOT APPLICABLE,RURAL,NO,0626,0.133,US & STATE HIGHWAYS,"STRAIGHT, LEVEL",MINOR ARTERIAL,OFF ROADWAY,"4 OR MORE LANES, UNDIVIDED",True,60,SH0361,DRY,STOP SIGN,CLEAR
14869053,15893,False,15893,2023,PORT ARANSAS,FAILED TO YIELD RIGHT OF WAY - TURNING LEFT;TURNED WHEN UNSAFE,226303,12.086,2016-01-19,0,1,0,2,C - POSSIBLE INJURY,0,1701,2,2016,TUESDAY,19.805,0,MOTOR VEHICLE IN TRANSPORT,BOULEVARD,17:00 - 17:59,,N/A,NON INTERSECTION,27.80283878,"DARK, NOT LIGHTED",YES,-97.08545048,SAME DIRECTION - ONE STRAIGHT-ONE LEFT TURN,CURBED,THREE ENTERING ROADS - T,4,NOT APPLICABLE,True,NOT APPLICABLE,"2,500 - 4,999 POP",NO,0624,0.055,US & STATE HIGHWAYS,"STRAIGHT, LEVEL",MINOR ARTERIAL,ON ROADWAY,"4 OR MORE LANES, DIVIDED",True,55,SH0361,DRY,NONE,CLEAR
14901583,10439,True,10439,2023,CORPUS CHRISTI,DISREGARD STOP AND GO SIGNAL; HAD BEEN DRINKING,226303,27.498,2016-01-24,0,1,1,0,A - SUSPECTED SERIOUS INJURY,1,1710,2,2016,SUNDAY,35.217,0,MOTOR VEHICLE IN TRANSPORT,TWO-WAY,17:00 - 17:59,0022,PR0022,INTERSECTION,27.6178894,DAYLIGHT,YES,-97.22177124,OPPOSITE DIRECTION - ONE STRAIGHT-ONE LEFT TURN,NO MEDIAN,FOUR ENTERING ROADS,5,NOT APPLICABLE,True,NOT APPLICABLE,"250,000 POP AND OVER",NO,0638,1.535,US & STATE HIGHWAYS,"STRAIGHT, LEVEL",MINOR ARTERIAL,ON ROADWAY,"4 OR MORE LANES, UNDIVIDED",False,55,SH0361,DRY,SIGNAL LIGHT,CLEAR
14938847,15893,False,15893,2023,PORT ARANSAS,FAILED TO CONTROL SPEED; UNDER INFLUENCE - ALCOHOL,226303,11.763,2016-02-26,0,2,0,0,N - NOT INJURED,0,1141,0,2016,FRIDAY,19.482,0,MOTOR VEHICLE IN TRANSPORT,BOULEVARD,11:00 - 11:59,,ACCESS ROAD 1 A,INTERSECTION RELATED,27.80659239,DAYLIGHT,YES,-97.08228334,SAME DIRECTION - BOTH GOING STRAIGHT-REAR END,CURBED,THREE ENTERING ROADS - T,4,NOT APPLICABLE,True,NOT APPLICABLE,"2,500 - 4,999 POP",NO,0624,-0.268,US & STATE HIGHWAYS,"STRAIGHT, LEVEL",MINOR ARTERIAL,ON ROADWAY,"4 OR MORE LANES, DIVIDED",True,55,SH0361,DRY,FLASHING YELLOW LIGHT,CLEAR
14950362,12050,False,12050,2023,CORPUS CHRISTI,FAILED TO CONTROL SPEED,226303,14.455,2016-02-29,0,2,0,0,99 - UNKNOWN,0,0224,0,2016,MONDAY,22.174,0,FIXED OBJECT,TWO-WAY,02:00 - 02:59,,N/A,NON INTERSECTION,27.77483715,"DARK, NOT LIGHTED",YES,-97.10786875,ONE MOTOR VEHICLE - GOING STRAIGHT,NO MEDIAN,THREE ENTERING ROADS - T,5,HIT UTILITY POLE,True,NOT APPLICABLE,"250,000 POP AND OVER",NO,0626,0.462,US & STATE HIGHWAYS,"STRAIGHT, LEVEL",MINOR ARTERIAL,OFF ROADWAY,"4 OR MORE LANES, UNDIVIDED",False,60,SH0361,WET,STOP SIGN,CLOUDY
14979060,10439,False,10439,2023,CORPUS CHRISTI,DISTRACTION IN VEHICLE; FAILED TO DRIVE IN SINGLE LANE,226303,26.227,2016-03-05,0,3,2,0,B - SUSPECTED MINOR INJURY,0,2358,2,2016,SATURDAY,33.946,0,MOTOR VEHICLE IN TRANSPORT,TWO-WAY,23:00 - 23:59,,N/A,NON INTERSECTION,27.62817309,"DARK, NOT LIGHTED",YES,-97.20658518,OPPOSITE DIRECTION - BOTH GOING STRAIGHT,NO MEDIAN,NOT APPLICABLE,5,NOT APPLICABLE,True,ATTENTION DIVERTED FROM DRIVING,"250,000 POP AND OVER",NO,0638,0.264,US & STATE HIGHWAYS,"STRAIGHT, LEVEL",MINOR ARTERIAL,ON ROADWAY,"4 OR MORE LANES, UNDIVIDED",False,60,SH0361,DRY,CENTER STRIPE/DIVIDER,CLEAR
14975245,15893,False,15893,2023,PORT ARANSAS,FAILED TO CONTROL SPEED; HAD BEEN DRINKING,226303,12.03,2016-03-12,0,3,0,4,C - POSSIBLE INJURY,0,1919,4,2016,SATURDAY,19.749,0,MOTOR VEHICLE IN TRANSPORT,BOULEVARD,19:00 - 19:59,,N/A,NON INTERSECTION,27.80349112,"DARK, NOT LIGHTED",YES,-97.0849021,SAME DIRECTION - ONE STRAIGHT-ONE STOPPED,CURBED,THREE ENTERING ROADS - T,4,NOT APPLICABLE,True,SLOWING/STOPPING-REASON NOT SPECIFIED,"2,500 - 4,999 POP",NO,0624,-0.001,US & STATE HIGHWAYS,"STRAIGHT, LEVEL",MINOR ARTERIAL,ON ROADWAY,"4 OR MORE LANES, DIVIDED",True,60,SH0361,DRY,STOP SIGN,CLEAR
15005676,10439,False,10439,2023,CORPUS CHRISTI,TURNED WHEN UNSAFE,226303,21.95,2016-03-12,0,3,1,0,B - SUSPECTED MINOR INJURY,0,1909,1,2016,SATURDAY,29.669,0,MOTOR VEHICLE IN TRANSPORT,TWO-WAY,19:00 - 19:59,,N/A,NON INTERSECTION,27.68147343,"DARK, LIGHTED",YES,-97.17076215,SAME DIRECTION - ONE STRAIGHT-ONE LEFT TURN,NO MEDIAN,NOT APPLICABLE,5,NOT APPLICABLE,True,NOT APPLICABLE,"250,000 POP AND OVER",NO,0634,-0.014,US & STATE HIGHWAYS,"STRAIGHT, LEVEL",MINOR ARTERIAL,ON ROADWAY,"4 OR MORE LANES, UNDIVIDED",False,60,SH0361,DRY,CENTER STRIPE/DIVIDER,CLEAR
14978857,12050,False,12050,2023,PORT ARANSAS,HAD BEEN DRINKING; TURNED WHEN UNSAFE,226303,12.623,2016-03-18,0,3,0,0,N - NOT INJURED,0,1810,0,2016,FRIDAY,20.342,0,MOTOR VEHICLE IN TRANSPORT,BOULEVARD,18:00 - 18:59,,N/A,NON INTERSECTION,27.7965956,DAYLIGHT,YES,-97.09069267,SAME DIRECTION - ONE STRAIGHT-ONE LEFT TURN,CURBED,THREE ENTERING ROADS - T,4,NOT APPLICABLE,True,NOT APPLICABLE,"2,500 - 4,999 POP",NO,0624,0.592,US & STATE HIGHWAYS,"STRAIGHT, LEVEL",MINOR ARTERIAL,ON ROADWAY,"4 OR MORE LANES, DIVIDED",True,60,SH0361,DRY,STOP SIGN,CLOUDY
